fund_master_no,fund_no,dividend_date,dividend_type,pre_div1,pre_div2,pre_div3,pre_div4,pre_div5,div1,div2,div3,div4,div5,pre_div1_b,div1_b,fee,div_tot
D108,D109,2025/10/31,M,0,0,0,0,0,29659031,2852932,0,0,0,0,29659031,0,32511963
D108,D110,2025/10/31,M,0,0,0,0,0,890025.16,71258.09,221197.3,0,0,0,890025.16,0,1182480.55
D108,D111,2025/10/31,M,0,0,0,0,0,1270352.07,113300.52,0,0,0,0,1270352.07,0,1383652.59
D108,D123,2025/10/31,M,0,0,0,0,0,5881148,498114,0,0,0,0,5881148,0,6379262
D108,D124,2025/10/31,M,0,0,0,0,0,151141.03,11619.51,28745.54,0,0,0,151141.03,0,191506.08
D108,D125,2025/10/31,M,0,0,0,0,0,678850.14,59510.38,0,0,0,0,678850.14,0,738360.52
D112,D113,2025/10/31,M,0,0,0,0,0,21117119,0,0,0,0,0,21117119,0,21117119
D112,D114,2025/10/31,M,0,0,0,0,0,562172.18,0,0,0,0,0,562172.18,0,562172.18
D112,D115,2025/10/31,M,0,0,0,0,0,1729284.91,0,0,0,0,0,1729284.91,0,1729284.91
D112,D126,2025/10/31,M,0,0,0,0,0,656610,0,0,0,0,0,656610,0,656610
D112,D127,2025/10/31,M,0,0,0,0,0,334378.27,0,0,0,0,0,334378.27,0,334378.27
D112,D128,2025/10/31,M,0,0,0,0,0,699180.03,0,0,0,0,0,699180.03,0,699180.03
D112,D132,2025/10/31,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D140,D141,2025/10/31,M,0,0,0,0,0,0,1132130,9978073,0,0,0,0,0,11110203
D140,D143,2025/10/31,M,0,0,0,0,0,0,227748.09,2063050.47,0,0,0,0,0,2290798.56
D140,D144,2025/10/31,M,0,0,0,0,0,0,25601.47,225820.97,0,0,0,0,0,251422.44
D140,D145,2025/10/31,M,0,0,0,0,0,0,37988.32,335706,0,0,0,0,0,373694.32
D140,D146,2025/10/31,M,0,0,0,0,0,0,19727.28,18343.34,0,0,0,0,0,38070.62
D140,D147,2025/10/31,M,0,0,0,0,0,0,7203.33,8077.39,0,0,0,0,0,15280.72
D140,D148,2025/10/31,M,0,0,0,0,0,0,740052,6479625,0,0,0,0,0,7219677
