fund_master_no,fund_no,dividend_date,dividend_type,interest_rate,capital_rate
D108,D109,2025/9/30,M,1,0
D108,D110,2025/9/30,M,1,0
D108,D111,2025/9/30,M,1,0
D108,D123,2025/9/30,M,1,0
D108,D124,2025/9/30,M,1,0
D108,D125,2025/9/30,M,1,0
D112,D113,2025/9/30,M,1,0
D112,D114,2025/9/30,M,1,0
D112,D115,2025/9/30,M,1,0
D112,D126,2025/9/30,M,0.815,0.185
D112,D127,2025/9/30,M,1,0
D112,D128,2025/9/30,M,1,0
D140,D141,2025/9/30,M,0,1
D140,D143,2025/9/30,M,0,1
D140,D144,2025/9/30,M,0.056,0.944
D140,D145,2025/9/30,M,0,1
D140,D146,2025/9/30,M,1,0
D140,D147,2025/9/30,M,1,0
D140,D148,2025/9/30,M,0,1
D140,D149,2025/9/30,M,0,1
D140,D150,2025/9/30,M,0.0581,0.9419
D140,D151,2025/9/30,M,0.3357,0.6643
D140,D210,2025/9/30,M,0,1
D140,D215,2025/9/30,M,0.9779,0.0221
D140,D222,2025/9/30,M,0,1
D17,D214,2025/9/30,M,1,0
D190,D191,2025/9/30,M,1,0
D190,D193,2025/9/30,M,1,0
D190,D194,2025/9/30,M,0,1
D205,D206,2025/9/30,M,1,0
D205,D208,2025/9/30,M,0.1669,0.8331
D216,D223,2025/9/30,M,1,0
D22,D48,2025/9/30,M,1,0
D22,D89,2025/9/30,M,1,0
D23,D229,2025/9/30,M,1,0
D23,D230,2025/9/30,M,1,0
D23,D231,2025/9/30,M,1,0
D23,D232,2025/9/30,M,1,0
D27,D64,2025/9/30,M,0.9704,0.0296
D27,D66,2025/9/30,M,1,0
D27,D68,2025/9/30,M,0,1
D28,D133,2025/9/30,M,1,0
D28,D134,2025/9/30,M,1,0
D28,D135,2025/9/30,M,1,0
D28,D44,2025/9/30,M,1,0
D28,D91,2025/9/30,M,1,0
D28,D93,2025/9/30,M,1,0
D30,D31,2025/9/30,M,1,0
D56,D57,2025/9/30,M,0.0687,0.9313
D56,D59,2025/9/30,M,1,0
D56,D61,2025/9/30,M,0.0777,0.9223
D56,D63,2025/9/30,M,0.0368,0.9632
D56,D70,2025/9/30,M,0.071,0.929
