,,基準日,月配,可分配淨利/配息,本金/配息
fund_master_no,fund_no,dividend_date,dividend_type,interest_rate,capital_rate
D108,D109,2020/7/6,M,,
D108,D110,2020/7/6,M,,
D108,D111,2020/7/6,M,,
D108,D123,2020/7/6,M,,
D108,D124,2020/7/6,M,,
D108,D125,2020/7/6,M,,
D112,D113,2020/7/6,M,,
D112,D114,2020/7/6,M,,
D112,D115,2020/7/6,M,,
D112,D126,2020/7/6,M,,
D112,D127,2020/7/6,M,,
D112,D128,2020/7/6,M,,
D112,D132,2020/7/6,M,,
D136,D137,2020/7/6,M,,
D136,D138,2020/7/6,M,,
D136,D139,2020/7/6,M,,
D136,D170,2020/7/6,M,,
D136,D172,2020/7/6,M,,
D140,D141,2020/7/6,M,,
D140,D143,2020/7/6,M,,
D140,D144,2020/7/6,M,,
D140,D145,2020/7/6,M,,
D140,D146,2020/7/6,M,,
D140,D147,2020/7/6,M,,
D140,D148,2020/7/6,M,,
D140,D149,2020/7/6,M,,
D140,D150,2020/7/6,M,,
D140,D151,2020/7/6,M,,
D152,D153,2020/7/6,M,,
D152,D155,2020/7/6,M,,
D152,D156,2020/7/6,M,,
D152,D157,2020/7/6,M,,
D152,D158,2020/7/6,M,,
D152,D159,2020/7/6,M,,
D22,D48,2020/7/6,M,,
D22,D89,2020/7/6,M,,
D28,D133,2020/7/6,M,33.80%,66.20%
D28,D134,2020/7/6,M,100.00%,0.00%
D28,D135,2020/7/6,M,100.00%,0.00%
D28,D44,2020/7/6,M,100.00%,0.00%
D28,D91,2020/7/6,M,100.00%,0.00%
D28,D93,2020/7/6,M,100.00%,0.00%
D30,D31,2020/7/6,M,,
D46,D47,2020/7/6,M,,
D46,D47,2020/7/6,M,,
D56,D57,2020/7/6,M,,
D56,D59,2020/7/6,M,,
D56,D61,2020/7/6,M,,
D56,D63,2020/7/6,M,,
D56,D70,2020/7/6,M,,
,,,,,
,,,,,
,,,,,
fund_no (ES TW & HSBC 對照表),,,HSBC 提供的Excel ,,
ES TW,HSBC ,,,,
D133,A0007DIO06G,,,,
D134,A0007DIO06H,,,,
D135,A0007DIO06I,,,,
D44,A0007DIO06B,,,,
D91,A0007DIO06D,,,,
D93,A0007DIO06F,,,,
