Column_Name,Data_type,Nullable,Data_Default,欄1,欄2,Comments,補充
FUND_NO,VARCHAR(5),NO,-,1,*,,主鍵1
FUND_NAME,VARCHAR(300),NO,-,2,-,,
DIVIDEND_TYPE,VARCHAR(1),NO,-,3,*,,主鍵5
DIVIDEND_YEAR,"DECIMAL(38,0)",NO,-,4,*,,主鍵2
DIVIDEND_MONTH,"DECIMAL(38,0)",NO,-,5,*,,主鍵3
UNIT_DIVIDEND_RATE,"DECIMAL(12,10)",YES,-,6,-,,
DIVIDEND_DATE,DATETIME2(0),NO,-,7,*,,主鍵4
NEXT_DIVIDEND_DATE,DATETIME2(0),YES,-,8,-,,
PAYMENT_DATE,DATETIME2(0),YES,-,9,-,,
NAV,"DECIMAL(10,6)",YES,-,10,-,,
ROI,"DECIMAL(10,8)",YES,-,11,-,,
MONTH_DIVIDEND_RATE,"DECIMAL(10,8)",YES,-,12,-,,
YEAR_DIVIDEND_RATE,"DECIMAL(10,8)",YES,-,13,-,,
REMARK,VARCHAR(6),YES,-,14,-,,
FUND_CATEGORY,VARCHAR(1),NO,-,15,-,,
INTEREST_DIVIDEND,"DECIMAL(10,8)",YES,-,16,-,,
PRINCIPAL_DIVIDEND,"DECIMAL(10,8)",YES,-,17,-,,
PAY_DATE,DATETIME2(0),YES,-,18,-,,
EMP_NO,VARCHAR(8),YES,-,19,-,,
FUNC,VARCHAR(5),YES,-,20,-,,
LAST_MODIFIED,DATETIME2(0),YES,-,21,-,,
