entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads
clinic,請問有人知道台生診所,0,1,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,有一個李醫師,0,1,0,1,https://www.pttweb.cc/bbs/facelift/M.1631539999.A.418
doctor,眼袋手術醫師,4,0,1,3,https://www.pttweb.cc/bbs/facelift/M.1626355988.A.693 | https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6 | https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29
clinic,台北眼袋手術推薦診所,4,0,0,2,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598 | https://www.pttweb.cc/bbs/facelift/M.1693985291.A.22C
clinic,台北診所,3,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125 | https://www.pttweb.cc/bbs/facelift/M.1748338627.A.B7E
doctor,台北眼袋醫生,3,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690 | https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946
clinic,眼袋醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B
clinic,新北優質診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C
clinic,問台北醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
clinic,台北除眼袋有沒有推薦台生以外的診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B
doctor,袋手術的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1753961213.A.E61
doctor,溝推薦的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5
doctor,內開眼袋醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E
doctor,二修手術醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1703829056.A.C45
doctor,溝手術的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698142851.A.BC2
clinic,台北下眼袋及中臉拉皮及前額拉皮診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1689580468.A.B01
doctor,淚溝手術醫師,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F
clinic,薦大醫院,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6
doctor,問開眼袋醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B
clinic,第一次做醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2
clinic,求推薦台北眼袋手術診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1631372371.A.FE2
doctor,黃仁吳醫師,1,0,2,3,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29 | https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598 | https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,的診所和醫生,1,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1632299340.A.038 | https://www.pttweb.cc/bbs/facelift/M.1678870258.A.355
doctor,週二的韓院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1770624717.A.BE9
clinic,有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B
doctor,美感好的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
clinic,想問台北有沒有推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
doctor,皮手術的醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1760501256.A.575
