thread_title,thread_url,thread_author,thread_datetime,snippet,doctors,clinics,city
[問題] 黑眼圈打熊貓針好嗎,https://www.pttweb.cc/bbs/facelift/M.1773629543.A.45D,,2026-03-16T10:52:00,我黑眼圈超深的 從小就是 小時候被笑習慣了都懶得回嘴，越長大反而越在意 朋友說可以去打熊貓針 我看他打完黑眼圈是真的不見了沒錯 但網路上看很多資料又說黑眼圈也有分類型 每個類型適合的又不一樣 搞得霧煞煞 我自己看我應該算色素跟有一點結構嗎？ 淡淡淚溝不過不嚴重 想來徵求更多人的建議 如果有台中不錯的醫師也再請各位多多推薦 任何問題也不吝指教 謝謝,有台中不錯的醫師,,台中
[問題] 台中淚溝醫生診所,https://www.pttweb.cc/bbs/facelift/M.1772430145.A.B07,,2026-03-02T13:42:00,[問題] 台中淚溝醫生診所 - 看板facelift - PTT網頁版,台中淚溝醫生,台中淚溝醫生診所,台中
[問題] 台中淚溝醫生診所,https://www.pttweb.cc/bbs/facelift/M.1772430145.A.B07,,2026-03-02T13:42:00,"[問題] 台中淚溝醫生診所 ＋收藏 分享 看板 facelift 作者 flowerhigh (崩解了再復原女) 時間 4周前 發表 (2026/03/02 13:42) , 編輯 推噓 11 ( 11 推 0 噓 5 → ) 留言 16則, 11人 參與 , 3周前 最新 討論串 1/1",台中淚溝醫生,台中淚溝醫生診所,台中
[問題] 台中淚溝醫生診所,https://www.pttweb.cc/bbs/facelift/M.1772430145.A.B07,,2026-03-02T13:42:00,想問住台中的板友有推薦很會處理淚溝的醫生嗎 淚溝問題已經困擾我很久 黑眼圈深到每天都像沒睡飽 想去處理一下 目前好像是看到有幾位醫師比較有名 1.教主 楊醫師 2.耀媄 蔡醫師 3.韓娜斯 韓院長,"會處理淚溝的醫生,是看到有幾位醫師",,台中
[問題] 台中淚溝醫生診所,https://www.pttweb.cc/bbs/facelift/M.1772430145.A.B07,,2026-03-02T13:42:00,", 2 F 淚溝真的要好好挑醫師，打壞難處理 03/02 15:22 , 2 F 推 xuanhjnh58 03/02 16:13,",真的要好好挑醫師,,
小分子薇貝拉/精靈針打淚溝疑問,https://www.pttweb.cc/bbs/facelift/M.1772191421.A.340,,2026-02-27T19:23:00,最近因為淚溝跟眼下細紋越來越明顯，去醫美診所諮詢,,去醫美診所,
小分子薇貝拉/精靈針打淚溝疑問,https://www.pttweb.cc/bbs/facelift/M.1772191421.A.340,,2026-02-27T19:23:00,第三間 建議細紋可以打眼周電波 淚溝部分建議打小分子薇貝拉或精靈針 診所說他們蠻多客人都是這樣打的,,打小分子薇貝拉或精靈針 診所說他們蠻多客人都,
[閒聊] 朋友去諮詢淚溝醫生叫他打精靈針？,https://www.pttweb.cc/bbs/facelift/M.1771912544.A.C1B,,2026-02-24T13:55:00,[閒聊] 朋友去諮詢淚溝醫生叫他打精靈針？ - 看板facelift - PTT網頁版,友去諮詢淚溝醫生,,
[閒聊] 朋友去諮詢淚溝醫生叫他打精靈針？,https://www.pttweb.cc/bbs/facelift/M.1771912544.A.C1B,,2026-02-24T13:55:00,"[閒聊] 朋友去諮詢淚溝醫生叫他打精靈針？ ＋收藏 分享 看板 facelift 作者 yuwi9206 (yoyo抱輕輕) 時間 1月前 發表 (2026/02/24 13:55) , 編輯 推噓 1 ( 1 推 0 噓 2 → ) 留言 3則, 1人 參與 , 1月前 最新 討論串 1/1",友去諮詢淚溝醫生,,
[閒聊] 朋友去諮詢淚溝醫生叫他打精靈針？,https://www.pttweb.cc/bbs/facelift/M.1771912544.A.C1B,,2026-02-24T13:55:00,先說 是在韓國 語言不通又不懂醫美真的先為他哭一場 他事先也沒有做太多功課想說相信專業 結果醫生推他什麼他就打什麼 回來後我問他才知道他淚溝居然打了精靈針 現在看是沒事 只能祈禱他膠原蛋白不要增生太多...,結果醫生,語言不通又不懂醫美,
[問題] 關於眼袋內開淚溝補脂,https://www.pttweb.cc/bbs/facelift/M.1771409014.A.88E,,2026-02-18T18:03:00,", 7 F 我看了兩家醫生都說補脂其實都是在蘋果肌 02/19 15:19 , 7 F → ajinou 02/19 15:19,",我看了兩家醫生,,
[問題] 眼袋手術適合老人做嗎？？？？,https://www.pttweb.cc/bbs/facelift/M.1770886834.A.F91,,2026-02-12T17:00:00,我家人快60，身體算健朗，有高血糖 最近一直盧說覺得眼袋不好看，想要做醫美手術去掉== 想問一下，有沒有家裡老人或長輩做過眼袋的？ （其實私心來說，不太希望她去做，我怕手術對老人家身體不好或是踩雷很難救）,,想要做醫美,
[問題] 拜託救救我的淚溝,https://www.pttweb.cc/bbs/facelift/M.1770624717.A.BE9,,2026-02-09T16:11:00,", 14 F 推薦台北韓娜斯週二的韓院長淚溝打 02/11 15:24 , 14 F → wendy0602129 02/11 15:24,",娜斯週二的韓院長,,台北
[心得] 台中眼袋內開補脂/移位 諮詢,https://www.pttweb.cc/bbs/facelift/M.1768812083.A.6A7,,2026-01-19T16:41:00,1. 佳x優-李醫師 我對於這間的網路約的態度給予好感，回覆的速度很快，而且也很有耐心。 診所也有附設停車場，走路過去只要5分鐘。 而且醫師和咨詢師都非常準時，時間到馬上就可以進入診間看見醫師。 進入診間後醫師請我拿著鏡子，他拆了一根新的棉花棒，比著我的眼袋說明眼袋內開會怎 麼做，然後跟我說我有需要做蘋果肌的必要，也推薦我半年後回來做黑眼圈，因為我黑眼 圈比較重，說完他就先行離開，換咨詢師給我看範例照，給我的感覺是每個人都一樣做好 做滿。 他的收費方式是 內開補淚溝含全麻一個價位+補蘋果肌再一個價位，費用是全部裡面...,"而且醫師,進入診間看見醫師,進入診間後醫師",很快，而且也很有耐心。 診所也有附設停車場，,
[心得] 台中眼袋內開補脂/移位 諮詢,https://www.pttweb.cc/bbs/facelift/M.1768812083.A.6A7,,2026-01-19T16:41:00,這位醫師在各大平台都很紅，見到本人後完全可以理解為什麼大家喜歡給他做，醫師講話 非常溫柔，而且諮詢過程有帶手術手套摸一下我的眼袋，並告知我手術大概會如何進行， 這位醫師也說我有填補蘋果肌的必要，然後跟我說會從大腿內側抽脂肪。 他的收費方式是 內開含全麻一個價位+補淚溝一個價位+補蘋果肌一個價位，但是淚溝跟 蘋果肌一起做會有方案價，所有費用和第一間大同小異。,這位醫師,,
[心得] 台中眼袋內開補脂/移位 諮詢,https://www.pttweb.cc/bbs/facelift/M.1768812083.A.6A7,,2026-01-19T16:41:00,3. 美x線 - 馮醫師 診所非常漂亮，高級到不行，進去覺得有至高的待遇， 也有自己的停車場。 進去後稍微等了一下，咨詢師即帶我進去診間， 她先說明我有眼袋手術的必要後，還有說因為我有矯正牙齒，上排較凸，所以蘋果肌要打 豐潤一點才會比例更好看，然後還有說我的下巴忘記怎麼樣，他覺得我需要打肉毒，但因 為我其實只是求自然，沒有對這些特別有興趣。 沒多久醫生進來診間，是所有醫生裡面最最最溫柔，他摸著我的眼袋說矮呀這小眼袋沒什 麼，然後說不過我們要來測測你有沒有脂肪可以補，於是就帶我到另一個診間照超音波。 因為我有在運動的...,"沒多久醫生,是所有醫生,我也有看到醫生",. 美x線 - 馮醫師 診所非常漂亮，高級到,
[心得] 台中眼袋內開補脂/移位 諮詢,https://www.pttweb.cc/bbs/facelift/M.1768812083.A.6A7,,2026-01-19T16:41:00,諮詢過程很和善，也非常詳細回答我所有的問題，還給我看各種不同方案下的成品大致上 會是怎麼樣。 我跟她說其他間都有說我需要補蘋果肌，她說如果補蘋果肌就得參考他們別的醫師，因為 我預約這位醫師他習慣是做脂肪移位，所以他不太做蘋果肌。 我說好，我先跟這位醫師談看看再來決定要不要和另一位醫師諮詢。 諮詢師也給我了他們的各種不同做法的價位。 收費方式為 眼袋內開和脂肪移位一個價位+全麻另一個價位，或者是 眼袋內開和淚溝一 個價位+蘋果肌補一個位置就要一個價位+全麻一個價位。 整理算來不輸上一間。,"參考他們別的醫師,我預約這位醫師,我先跟這位醫師,不要和另一位醫師",,
[心得] 台中眼袋內開補脂/移位 諮詢,https://www.pttweb.cc/bbs/facelift/M.1768812083.A.6A7,,2026-01-19T16:41:00,直到遇到醫師後，他很有自信的和我說我不需要蘋果肌，他說那個很厚也不好看，他覺得 我只要移位就好，並告知我移位的手術方式，之後還有聊東聊西非常愉快，所以最後我就 當下預約了手術時間。,直到遇到醫師,,
[討論] 叫人在淚溝補洢蓮絲的診所都好過分,https://www.pttweb.cc/bbs/facelift/M.1768533163.A.7A6,,2026-01-16T11:12:00,[討論] 叫人在淚溝補洢蓮絲的診所都好過分 - 看板facelift - PTT網頁版,,叫人在淚溝補洢蓮絲的診所,
[討論] 叫人在淚溝補洢蓮絲的診所都好過分,https://www.pttweb.cc/bbs/facelift/M.1768533163.A.7A6,,2026-01-16T11:12:00,"[討論] 叫人在淚溝補洢蓮絲的診所都好過分 ＋收藏 分享 看板 facelift 作者 leemin1578 (胖虎沒人愛) 時間 2月前 發表 (2026/01/16 11:12) , 2月前 編輯 推噓 5 ( 5 推 0 噓 9 → ) 留言 14則, 6人 參與 , 1月前 最新 討論串 1/1",,叫人在淚溝補洢蓮絲的診所,
[討論] 叫人在淚溝補洢蓮絲的診所都好過分,https://www.pttweb.cc/bbs/facelift/M.1768533163.A.7A6,,2026-01-16T11:12:00,前幾天跟朋友約吃飯 聊到她去諮詢淚溝 醫生居然建議她打洢蓮絲 但因為她原本只是想補玻尿酸 預算只有1萬多而已 所以當下沒有馬上決定打洢蓮絲 啊不就好險朋友沒打 我真的不懂欸 眼下皮膚那麼薄 本來就不適合打任何膠原蛋白增生劑 但怎麼還會有一堆醫生在推啊？ 我已經在版上看到很多人都是因為這樣打失敗了 難道那些醫師都忘了自己讀過的醫師宣言了嗎 他們良心都不會痛喔？,"麼還會有一堆醫生,難道那些醫師,了自己讀過的醫師",,
[討論] 叫人在淚溝補洢蓮絲的診所都好過分,https://www.pttweb.cc/bbs/facelift/M.1768533163.A.7A6,,2026-01-16T11:12:00,", 12 F 我醫生也是說洢不能填淚溝，現在網路資訊 02/25 16:26 , 12 F → paching 02/25 16:26,",,,
[問題] 黑眼圈真的無法根治？,https://www.pttweb.cc/bbs/facelift/M.1767940072.A.330,,2026-01-09T14:27:00,前陣子去諮詢，問醫生黑眼圈能做什麼醫美改善 醫生沈默了幾秒表示「黑眼圈目前無法根治」 真的是這樣嗎... 難道我的黑眼圈真的沒救了嗎...QQ,,問醫生黑眼圈能做什麼醫美,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,[問題] 眼袋手術 求內開外開心得與診所推薦 - 看板facelift - PTT網頁版,,求內開外開心得與診所,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,"[問題] 眼袋手術 求內開外開心得與診所推薦 ＋收藏 分享 看板 facelift 作者 A11on524 (伊伊) 時間 3月前 發表 (2025/12/30 11:51) , 編輯 推噓 17 ( 17 推 0 噓 33 → ) 留言 50則, 16人 參與 , 1年前 最新 討論串 1/1",,求內開外開心得與診所,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,爬文後有幾個問題想請教： 內開 vs 外開 若皮膚不鬆 是否內開就夠？ 內開真的比較容易復發嗎 拿眼袋一定要補脂嗎？有看到只拿不補 也有建議補脂或玻尿酸 是否有人遇過凹陷、不對稱等問題 求醫師/診所推薦 希望是審美自然、不亂推項目的醫師,不亂推項目的醫師,、不對稱等問題 求醫師/診所推薦 希望是審美,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,", 19 F 臉型銜接比單純填淚溝自然很多，推葉醫師 01/01 00:01 , 19 F → qqMina 01/01 00:01,",推葉醫師,,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,", 29 F 我當初在名悅給邱大睿醫師處理眼袋的時候 01/07 12:03 , 29 F → yu5168 01/07 12:03,",名悅給邱大睿醫師,,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,", 31 F 邱醫師是用脂肪轉位把脂肪轉移到淚溝的位 01/07 12:03 , 31 F → yu5168 01/07 12:03,",,,
[問題] 眼袋手術 求內開外開心得與診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767066666.A.B14,,2025-12-30T11:51:00,", 46 F 分都是長輩才會外開。我的醫生是拿眼袋/ 01/16 16:25 , 46 F → tsgaiko 01/16 16:25,",我的醫生,,
[問題] 台中割眼袋診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767012050.A.94C,,2025-12-29T20:40:00,[問題] 台中割眼袋診所推薦 - 看板facelift - PTT網頁版,,台中割眼袋診所,台中
[問題] 台中割眼袋診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767012050.A.94C,,2025-12-29T20:40:00,"[問題] 台中割眼袋診所推薦 ＋收藏 分享 看板 facelift 作者 joanna82321 (晞晞CC) 時間 3月前 發表 (2025/12/29 20:40) , 編輯 推噓 0 ( 0 推 0 噓 0 → ) 留言 0則, 0人 參與 , 最新 討論串 1/1",,台中割眼袋診所,台中
[問題] 台中割眼袋診所推薦,https://www.pttweb.cc/bbs/facelift/M.1767012050.A.94C,,2025-12-29T20:40:00,最近想要去割眼袋 不知道各位大大有推薦的診所嗎? 謝謝大家,,不知道各位大大有推薦的診所,
[討論] 有關眼袋手術,https://www.pttweb.cc/bbs/facelift/M.1766110932.A.E57,,2025-12-19T10:22:00,", 13 F 那為什麼台灣醫美的眼袋手術還是一堆內開 12/22 20:13 , 13 F → poswem 12/22 20:14,",,那為什麼台灣醫美,
[討論] 有關眼袋手術,https://www.pttweb.cc/bbs/facelift/M.1766110932.A.E57,,2025-12-19T10:22:00,", 15 F 我諮詢過很多家診所都是內開加補脂一起 12/23 23:34 , 15 F → mantistv 12/23 23:35,",,我諮詢過很多家診所,
