thread_title,thread_url,thread_author,thread_datetime,snippet,doctors,clinics,city
[問題] 過敏型黑眼圈 熊貓針/魔法針哪個好？,https://www.pttweb.cc/bbs/facelift/M.1718599667.A.BE9,,2024-06-17T12:47:00,", 16 F 重還是淚溝比較嚴重 06/17 14:44 , 16 F 感謝各位回覆 看下來熊貓針好像還不錯（？ 我是覺得我的黑眼圈是黑色素比較嚴重 不過其實也不太確定啦可能要再問醫生 就是有時候熬夜太累淚溝會更深一點 至於雷射部分我再來研究一下",實也不太確定啦可能要再問,,
[問題] 北部/鼻翼+歪鼻/黑眼圈 痘疤推薦?,https://www.pttweb.cc/bbs/facelift/M.1724079003.A.D66,,2024-08-19T22:50:00,最後就是黑眼圈 或是考慮非侵入的眼袋醫美(?) 有開刀的還是有點怕 想請問 以上都能在一個地方諮詢搞定是有可能的嗎? 主要是希望可以整體規劃 (有個可靠的醫師),以整體規劃 (有個可靠的,最後就是黑眼圈 或是考慮非侵入的眼袋醫美,
[問題] 北部/鼻翼+歪鼻/黑眼圈 痘疤推薦?,https://www.pttweb.cc/bbs/facelift/M.1724079003.A.D66,,2024-08-19T22:50:00,", 1 F 黑眼圈我推銀河星辰的楊醫師，他玻尿 08/22 17:05 , 1 F → a22792279 08/22 17:05,",黑眼圈我推銀河星辰的楊,,
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,[問題] 台北診所推薦(眼袋手術及黑眼圈改善) - 看板facelift - PTT網頁版,,[問題] 台北診所,台北
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,"[問題] 台北診所推薦(眼袋手術及黑眼圈改善) ＋收藏 分享 看板 facelift 作者 sinleaf (sinleaf) 時間 1年前 發表 (2024/11/18 11:52) , 1年前 編輯 推噓 13 ( 13 推 0 噓 26 → ) 留言 39則, 12人 參與 , 1年前 最新 討論串 1/1",,[問題] 台北診所,台北
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,最近想要去醫美一勞永逸 發現還有所謂內開及外開之分 是覺得還是要去諮詢看看比較準確 想詢問有做過眼袋淚溝手術的前輩 這兩個通常會一併處理嗎?黑眼圈有獲得改善嗎? 有推薦台北的診所或醫師嗎?,有推薦台北的診所或,"最近想要去醫美,有推薦台北的診所",台北
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,", 20 F 我淚溝也深 醫師建議我是眼袋內開+ 11/19 14:46 , 20 F → GetWiseTips 11/19 14:46,",我淚溝也深,,
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,", 24 F 內開眼袋跟淚溝回填我一起給余德毅醫師 11/19 16:28 , 24 F → Joelee889 11/19 16:29,",跟淚溝回填我一起給余德毅,,
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,", 34 F 給黃仁吳醫師開有回填淚溝，填平之後 11/24 21:18 , 34 F → sandrahuang 11/24 21:18,",給黃仁吳,,
[問題] 台北診所推薦(眼袋手術及黑眼圈改善),https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,,2024-11-18T11:52:00,", 36 F 我找鍾立人醫師做內開眼袋手術後，眼 11/26 14:59 , 36 F → crouhselang 11/26 15:00,",我找鍾立人,,
擊退黑眼圈眼袋淚溝，精神百倍的我,https://www.pttweb.cc/bbs/facelift/M.1742978243.A.175,,2025-03-26T16:37:00,被說嗑藥我也認了，真的怨念好重的樣子 是說，我一直很喜歡我的眼睛，也很多人說眼睛好看，但就是那眼下的細紋黑眼圈，當然除 了黑眼圈之外，眼下的凹陷始終讓我在意，我不斷開始爬文消除黑眼圈、淚溝手術的作法， 最後看到眼袋手術的方式，好像修復期還可以接受、又可以處理淚溝跟黑眼圈，正好符合我 的需求——所以我就開始諮詢爬文網路上有名的診所醫師,諮詢爬文網路上有名的診所,的需求——所以我就開始諮詢爬文網路上有名的診所,
擊退黑眼圈眼袋淚溝，精神百倍的我,https://www.pttweb.cc/bbs/facelift/M.1742978243.A.175,,2025-03-26T16:37:00,-- 更新醫生診所資訊給大家喔 我是尚水美博診所做的眼袋手術 我眼袋內開補脂肪在淚溝那邊 有睡眠做手術，6萬多喔,更新,"更新醫生診所,我是尚水美博診所",
擊退黑眼圈眼袋淚溝，精神百倍的我,https://www.pttweb.cc/bbs/facelift/M.1742978243.A.175,,2025-03-26T16:37:00,", 10 F 請問醫師和費用 謝謝 04/02 07:20 , 10 F 更新資訊給大家 手術醫生是詹東峻，診所尚水美博 我是做眼袋，內開眼袋跟補脂肪淚溝 有做舒眠麻醉 花了六萬多喔","請問,手術",手術醫生是詹東峻，診所,
[討論] 黑眼圈原來其實沒得救,https://www.pttweb.cc/bbs/facelift/M.1745983526.A.150,,2025-04-30T11:25:00,打過熊貓針覺得沒什麼效果 去諮詢下一間醫師直接跟我說「你這種黑眼圈沒辦法根治不用作了」 大家遇到這種狀況會很堅持嗎,去諮詢下一間,,
[分享] 黑眼圈跟眼袋手術的紀錄分享,https://www.pttweb.cc/bbs/facelift/M.1746090401.A.2EA,,2025-05-01T17:06:00,開始接觸化妝後，我越來越在意眼下的黑眼圈。怎麼遮都遮不住，一直都覺得是黑眼圈問題 ，年輕時根本不懂甚麼是眼袋、淚溝、老化、凹陷啊！ 化妝完也覺得妝感不對，不精緻，不服貼，總覺得那裏就是不對，便這樣懵懵懂懂又過了N年 了人生 至於眼袋還是淚溝還是黑眼圈從何時纏身，我還真的不清楚，只知道後來在研究遮瑕技巧時 ，才某天頓悟問題其實不只是黑眼圈吧？還可能是眼袋與淚溝造成的陰影感。我開始上網查 資料，越查水越深，發現凹陷、眼袋、細紋，很多問題 一開始想透過熊貓針或玻尿酸來改善，便開始搜尋玻尿酸黑眼圈、淚溝，也找了很多家診所 ...,,"一開始想透過熊貓針或玻尿酸來改善，便開始搜尋玻尿酸黑眼圈、淚溝，也找了很多家診所,只能說醫美",
[分享] 黑眼圈跟眼袋手術的紀錄分享,https://www.pttweb.cc/bbs/facelift/M.1746090401.A.2EA,,2025-05-01T17:06:00,雖然眼下偶爾還是有點乾燥，但已經比過往好太多了，果然眼袋手術醫美科技不同凡響。,,雖然眼下偶爾還是有點乾燥，但已經比過往好太多了，果然眼袋手術醫美,
[問題] 眼周和淚溝打玻尿酸可以維持多久？,https://www.pttweb.cc/bbs/facelift/M.1755659227.A.04F,,2025-08-20T11:07:00,以前醫美主要都打電波音波那些 第一次想嘗試填充療程 這次主要是想改善淚溝和眼周的問題 讓眼睛看起來沒那麼累 但不確定玻尿酸如果打在眼周 維持度大概可以多久呢？ 有哪一個玻尿酸是打眼周比較適合的嗎？,,以前醫美,
[討論] 眼袋淚溝問題 會跟蘋果肌一起弄嗎?,https://www.pttweb.cc/bbs/facelift/M.1756193002.A.5A2,,2025-08-26T15:23:00,上次回診打雷射的時候 順便跟醫生諮詢了眼袋淚溝問題 醫生看了之後建議要一起做蘋果肌 說不然整個臉會很平面 還是第一次被說我臉蠻平的XD 想問一下通常會一起處理嗎? 還是分開作也沒差?,回診打雷射的時候 順便跟,,
