entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads
clinic,台北診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
clinic,問台北醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
clinic,新北優質診所,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C
clinic,眼袋醫美,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B
doctor,的診所或醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
clinic,最近想要去醫美,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
clinic,有推薦台北的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,美感好的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
clinic,想問台北有沒有推薦的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B
clinic,有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B
doctor,週二的韓院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1770624717.A.BE9
doctor,余德毅醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,黃仁吳醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
doctor,鍾立人醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125
