entity_type,entity,sentiment,city,thread_datetime,thread_url,thread_title,snippet
clinic,台北診所,recommended,台北,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),[問題] 台北診所推薦(眼袋手術及黑眼圈改善) - 看板facelift - PTT網頁版
clinic,台北診所,recommended,台北,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),"[問題] 台北診所推薦(眼袋手術及黑眼圈改善) ＋收藏 分享 看板 facelift 作者 sinleaf (sinleaf) 時間 1年前 發表 (2024/11/18 11:52) , 1年前 編輯 推噓 13 ( 13 推 0 噓 26 → ) 留言 39則, 12人 參與 , 1年前 最新 討論串 1/1"
doctor,的診所或醫師,recommended,台北,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),最近想要去醫美一勞永逸 發現還有所謂內開及外開之分 是覺得還是要去諮詢看看比較準確 想詢問有做過眼袋淚溝手術的前輩 這兩個通常會一併處理嗎?黑眼圈有獲得改善嗎? 有推薦台北的診所或醫師嗎?
clinic,最近想要去醫美,recommended,台北,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),最近想要去醫美一勞永逸 發現還有所謂內開及外開之分 是覺得還是要去諮詢看看比較準確 想詢問有做過眼袋淚溝手術的前輩 這兩個通常會一併處理嗎?黑眼圈有獲得改善嗎? 有推薦台北的診所或醫師嗎?
clinic,有推薦台北的診所,recommended,台北,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),最近想要去醫美一勞永逸 發現還有所謂內開及外開之分 是覺得還是要去諮詢看看比較準確 想詢問有做過眼袋淚溝手術的前輩 這兩個通常會一併處理嗎?黑眼圈有獲得改善嗎? 有推薦台北的診所或醫師嗎?
doctor,余德毅醫師,unknown,,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),", 24 F 內開眼袋跟淚溝回填我一起給余德毅醫師 11/19 16:28 , 24 F → Joelee889 11/19 16:29,"
doctor,黃仁吳醫師,unknown,,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),", 34 F 給黃仁吳醫師開有回填淚溝，填平之後 11/24 21:18 , 34 F → sandrahuang 11/24 21:18,"
doctor,鍾立人醫師,unknown,,2024-11-18T11:52:00,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,[問題] 台北診所推薦(眼袋手術及黑眼圈改善),", 36 F 我找鍾立人醫師做內開眼袋手術後，眼 11/26 14:59 , 36 F → crouhselang 11/26 15:00,"
clinic,問台北醫美,recommended,台北,2025-10-31T14:29:00,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,[問題] 黑眼圈與淚溝治療推薦 問台北醫美,[問題] 黑眼圈與淚溝治療推薦 問台北醫美 - 看板facelift - PTT網頁版
clinic,問台北醫美,recommended,台北,2025-10-31T14:29:00,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,[問題] 黑眼圈與淚溝治療推薦 問台北醫美,"[問題] 黑眼圈與淚溝治療推薦 問台北醫美 ＋收藏 分享 看板 facelift 作者 qi71nbpcvy (虎虎小姐) 時間 5月前 發表 (2025/10/31 14:29) , 編輯 推噓 13 ( 13 推 0 噓 5 → ) 留言 18則, 13人 參與 , 4月前 最新 討論串 1/1"
doctor,美感好的醫師,recommended,台北,2025-10-31T14:29:00,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,[問題] 黑眼圈與淚溝治療推薦 問台北醫美,黑眼圈看起來永遠像沒睡飽 (朋友說也可能是淚溝問題) 總之拍照好醜 想問台北有沒有推薦的診所可以處理黑眼圈或淚溝 (不要狂推銷的) 希望是美感好的醫師 跪求推薦感恩
clinic,想問台北有沒有推薦的診所,recommended,台北,2025-10-31T14:29:00,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,[問題] 黑眼圈與淚溝治療推薦 問台北醫美,黑眼圈看起來永遠像沒睡飽 (朋友說也可能是淚溝問題) 總之拍照好醜 想問台北有沒有推薦的診所可以處理黑眼圈或淚溝 (不要狂推銷的) 希望是美感好的醫師 跪求推薦感恩
clinic,新北優質診所,recommended,新北,2025-12-02T11:36:00,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C,[討論] 黑眼圈求助 請推新北優質診所,[討論] 黑眼圈求助 請推新北優質診所 - 看板facelift - PTT網頁版
clinic,新北優質診所,recommended,新北,2025-12-02T11:36:00,https://www.pttweb.cc/bbs/facelift/M.1764646570.A.83C,[討論] 黑眼圈求助 請推新北優質診所,"[討論] 黑眼圈求助 請推新北優質診所 ＋收藏 分享 看板 facelift 作者 rosiatfuy9 (蘿思芙) 時間 3月前 發表 (2025/12/02 11:36) , 編輯 推噓 10 ( 10 推 0 噓 1 → ) 留言 11則, 11人 參與 , 3月前 最新 討論串 1/1"
clinic,眼袋醫美,recommended,,2025-12-05T14:46:00,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,[問題] 雙北非手術，眼袋醫美推薦,[問題] 雙北非手術，眼袋醫美推薦 - 看板facelift - PTT網頁版
clinic,眼袋醫美,recommended,,2025-12-05T14:46:00,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,[問題] 雙北非手術，眼袋醫美推薦,"[問題] 雙北非手術，眼袋醫美推薦 ＋收藏 分享 看板 facelift 作者 yakabx7482 (殘天地) 時間 3月前 發表 (2025/12/05 14:46) , 編輯 推噓 13 ( 13 推 0 噓 6 → ) 留言 19則, 13人 參與 , 3月前 最新 討論串 1/1"
clinic,有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所,recommended,,2025-12-05T14:46:00,https://www.pttweb.cc/bbs/facelift/M.1764917191.A.65B,[問題] 雙北非手術，眼袋醫美推薦,想問各位有沒有推薦雙北地區非手術處理眼袋跟淚溝厲害的診所 雖然眼袋不深但淚溝凹陷蠻嚴重的 看起來好老(;′Д`)
doctor,週二的韓院長,recommended,台北,2026-02-09T16:11:00,https://www.pttweb.cc/bbs/facelift/M.1770624717.A.BE9,[問題] 拜託救救我的淚溝,", 14 F 推薦台北韓娜斯週二的韓院長淚溝打 02/11 15:24 , 14 F → wendy0602129 02/11 15:24,"
