主基金別,基金別,基金中文名稱,基金英文名稱,基金簡稱,基金簡簡稱,配息說明(前台查詢用),Fund Code,ISIN Code,基金經理公司,基金專戶名稱,基金保管機構,基金註冊地,避險級別,全球資產公告幣別,銷售狀態,經理費率,變動經理費率,保管費率,分銷費率,其他費用率,募集方式,投資區域,幣別,級別,風險收益等級,基金種類1,基金種類2,基金種類3,基金種類4,基金種類5,投資類型,投信投顧公會基金類型,衛星基金,收益分配設定,基金淨值日設定,基金交易日設定,成立日,開賣日,開始買回日,開放集保NAV上傳,申購淨值日,買回淨值日,買回付款日,記帳日落差天數,EC交易日落差天數,買回基金主帳戶銀行,收益分配配息專戶銀行,開放集保,手續費收取時點,首次申購原幣下限,再次申購原幣下限,收益分配下限,結存原幣下限,淨值小數位數,價金小數位數,單位數小數位數,單位數捨位方式,買回價金計算方式,客戶支付買回匯費,買回分行,受益分配分行,扣款時間,短線交易最小持有天數,是否收取買回費用,是否收取績效管理費,是否年化報酬率,匯款/ATM銀行,匯款分行代碼,申購關帳時間,買回關帳時間,EC及RSP申購關帳時間,EC買回關帳時間,買回基金主帳戶,收益分配配息專戶,匯款時間,開放投資型連結保單,開放申購,開放定期定額,開放語音交易,開放網路交易,開放網路申購,EC變更書面RSP,開放網路轉申購,開放網路RSP,開放網路DRSP,開放ATM轉帳,開放網路買回,開放銀行扣款,開放銀行匯款,開放ROBO,匯費,登錄代理人代號,贖回時間,CCY
C1,C1,資本集團歐洲成長及收益基金(盧森堡) B,Capital Group European Growth and IncomeFund (Lux) B,歐洲成長及收益基金B,歐洲成長及收益B,,CIEGBEUR,LU0157028266,05,CAPITAL INTERNATIONAL FUND- SUB-EUR,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.3,0,0.05,0,0,公開募集,歐洲,歐元,B,RR4,境外基金,股票型基金,歐洲區域型基金,offshore Equity,offshore Equity,股票型,跨國投資股票型,是,本基金無收益分配,CG1,cg1,2002/10/30,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU360670006550196636,,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,EUR
C1,C2,資本集團歐洲成長及收益基金(盧森堡) B (美元),Capital Group European Growth and IncomeFund (Lux) B (USD),歐洲成長及收益基金B美元,歐洲成長及收益BUSD,,CIEGBUSD,LU0157035477,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.3,0,0.05,0,0,公開募集,歐洲,美元,B,RR4,境外基金,股票型基金,歐洲區域型基金,offshore Equity,offshore Equity,股票型,跨國投資股票型,是,本基金無收益分配,CG1,cg1,2002/10/30,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU360670006550196636,LU360670006550196636,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
C1,C3,資本集團歐洲成長及收益基金(盧森堡) Bgdm ,Capital Group European Growth and IncomeFund (Lux) Bgdm,歐洲成長及收益基金Bgdm ,歐洲成長及收益Bgdm ,(基金之配息來源可能為本金),CIEGBDEUR,LU1669197896,05,CAPITAL INTERNATIONAL FUND- SUB-EUR,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.3,0,0.05,0,0,公開募集,歐洲,歐元,Bgdm ,RR4,境外基金,股票型基金,歐洲區域型基金,offshore Equity,offshore Equity,股票型,跨國投資股票型,是,本基金每月收益分配,CG1,cg1,2002/10/30,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU360670006550196636,LU360670006550196636,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,EUR
C1,C4,資本集團歐洲成長及收益基金(盧森堡) Bgdmh (美元),Capital Group European Growth and IncomeFund (Lux) Bgdm (USD),歐洲成長及收益基金Bgdm美元,歐洲成長及收益BgdmUSD, (基金之配息來源可能為本金),CIEGBDUSD,LU1669199751,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.3,0,0.05,0,0,公開募集,歐洲,美元,Bgdmh,RR4,境外基金,股票型基金,歐洲區域型基金,offshore Equity,offshore Equity,股票型,跨國投資股票型,是,本基金每月收益分配,CG1,cg1,2002/10/30,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU810670006550196505,LU810670006550196505,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
C1,C5,資本集團歐洲成長及收益基金(盧森堡) Bh (美元),Capital Group European Growth and IncomeFund (Lux) Bh (USD),歐洲成長及收益基金Bh美元,歐洲成長及收益BhUSD,,CIEGBHUSD,LU1217766424,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,是,美元,正常銷售,1.3,0,0.05,0,0,公開募集,歐洲,美元,Bh,RR4,境外基金,股票型基金,歐洲區域型基金,offshore Equity,offshore Equity,股票型,跨國投資股票型,是,本基金無收益分配,CG1,cg1,2015/4/14,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU810670006550196505,,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
C6,C6,資本集團新興市場債券基金(盧森堡) Bfdm,Capital Group Emerging Markets Debt Fund (LUX) Bfdm,新興市場債券基金Bfdm,新興市場債券Bfdm, (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),CIEMDBD,LU2339909900,05,CAPITAL INTERNATIONAL FUND- SUB-EUR,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.4,0,0.12,0,0,公開募集,全球,歐元,Bfdm,RR3,境外基金,債券型基金,長天期債券型基金,Offshore Bond,Offshore Bond,債券型,跨國投資固定收益一般債券型,是,本基金每月收益分配,CG6,cg6,2021/6/4,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU360670006550196636,LU360670006550196636,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,EUR
C6,C7,資本集團新興市場債券基金(盧森堡) Bfdm (美元),Capital Group Emerging Markets Debt Fund (LUX) Bfdm (USD),新興市場債券基金Bfdm美元,新興市場債券BfdmUSD, (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),CIEMDBDUSD,LU2339909819,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.4,0,0.12,0,0,公開募集,全球,美元,Bfdm,RR3,境外基金,債券型基金,長天期債券型基金,Offshore Bond,Offshore Bond,債券型,跨國投資固定收益一般債券型,是,本基金每月收益分配,CG6,cg6,2021/6/4,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU810670006550196505,LU810670006550196505,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
C6,C8,資本集團新興市場債券基金(盧森堡) B ,Capital Group Emerging Markets Debt Fund (LUX) B,新興市場債券基金B,新興市場債券B,(本基金有相當比重投資於非投資等級之高風險債券),CIEMDBEUR,LU0533017892,05,CAPITAL INTERNATIONAL FUND- SUB-EUR,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.4,0,0.12,0,0,公開募集,全球,歐元,B,RR3,境外基金,債券型基金,長天期債券型基金,Offshore Bond,Offshore Bond,債券型,跨國投資固定收益一般債券型,是,本基金無收益分配,CG6,cg6,2007/7/24,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU360670006550196636,,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,EUR
C6,C9,資本集團新興市場債券基金(盧森堡) B (美元) ,Capital Group Emerging Markets Debt Fund (LUX) B (USD),新興市場債券基金B美元,新興市場債券BUSD,(本基金有相當比重投資於非投資等級之高風險債券),CIEMDBUSD,LU0292261301,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.4,0,0.12,0,0,公開募集,全球,美元,B,RR3,境外基金,債券型基金,長天期債券型基金,Offshore Bond,Offshore Bond,債券型,跨國投資固定收益一般債券型,是,本基金無收益分配,CG6,cg6,2007/7/24,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU810670006550196505,,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
C6,C10,資本集團新興市場債券基金(盧森堡) Zd (美元),Capital Group Emerging Markets Debt Fund (LUX) Zd (USD),新興市場債券基金Zd美元,新興市場債券ZdUSD, (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),CIEMDZDUSD,LU0828132505,05,CAPITAL INTERNATIONAL FUND- SUB-USD,"JPM J.P. Morgan SE, Luxembourg Branch",LU,否,美元,正常銷售,1.4,0,0.12,0,0,公開募集,全球,美元,Zd,RR3,境外基金,債券型基金,長天期債券型基金,Offshore Bond,Offshore Bond,債券型,跨國投資固定收益一般債券型,是,本基金有收益配,CG6,cg6,2007/7/24,,,是,0,0,3,1,0,J.P. Morgan SE – Luxembourg Branch,J.P. Morgan SE – Luxembourg Branch,是,前收,10000,1000,0,0,4,2,3,四捨五入,依總單位數計算價金,否,Luxembourg Branch,Luxembourg Branch,11:00,3,無買回特殊費用,否,否,,,16:00,16:00,12:00,16:00,LU810670006550196505,LU810670006550196505,14:00,否,否,否,否,否,否,否,否,否,否,否,否,否,否,否,,05,14:00,USD
