"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"AC_DATE","DATE","Yes","",15,"前一營業日"
"AC_NAME","VARCHAR2(100 BYTE)","Yes","",97,"基金專戶名稱"
"AMC_NO","VARCHAR2(2 BYTE)","Yes","",70,"基金經理公司"
"AMT_DECIMAL","NUMBER(1,0)","Yes","",60,"價金小數位數"
"ANNUALIZED_ROI","VARCHAR2(1 BYTE)","Yes","",83,"是否年化報酬率 Y:年化 N:不年化"
"AREA_TYPE","VARCHAR2(2 BYTE)","Yes","",53,"基金投資區域　"
"BANK_NO","VARCHAR2(3 BYTE)","Yes","",55,"匯款/ ATM銀行"
"BANK_WIRE_FEE","NUMBER(12,2)","Yes","",142,"銀行匯費"
"BEHIND_DAYS","NUMBER(2,0)","Yes","",25,"記帳日落差天數 - 記帳日落差天數"
"BEL_BASE","VARCHAR2(1 BYTE)","Yes","'3' ",154,"後收提早贖回計算基礎  1:申贖成本 2:贖回價金 3:申購/贖回孰低"
"BEL_EXG_DAY","NUMBER(2,0)","Yes","",156,"後收期滿轉換日"
"BEL_YEAR","NUMBER(5,0)","Yes","0 ",155,"後收年期"
"BRANCH_NO","VARCHAR2(4 BYTE)","Yes","",56,"匯款分行代碼"
"CALENDAR_CODE","VARCHAR2(5 BYTE)","Yes","",66,"基金淨值日設定"
"CF_RATE","NUMBER(10,7)","Yes","0 ",166,"分銷費"
"CLEAR_DATE","DATE","Yes","",41,"停止交易日 - 清算基準日之次一營業日合併基準日之前一營業日"
"CORE_SATELLITE","VARCHAR2(1 BYTE)","Yes","",110,"C:風險收益等級   S:衛星基金"
"CO_NO","VARCHAR2(2 BYTE)","Yes","",8,"基金經理公司碼 - 本公司依證期會規定發行受益憑證編號公司碼為10"
"CREATED_BY","VARCHAR2(6 BYTE)","Yes","",128,"建檔人"
"CREATION_DATE","DATE","Yes","",129,"建檔時間"
"CTCB_AC_CODE","VARCHAR2(12 BYTE)","Yes","",39,"ATM帳戶基金帳號 - 中信銀ATM虛擬帳戶用"
"CTCB_FUND_NO","VARCHAR2(5 BYTE)","Yes","",38,"ATM帳戶基金代碼 - 中信銀ATM虛擬帳戶用"
"CURRENCY_NO","VARCHAR2(3 BYTE)","Yes","",57,"幣別"
"CUSTODIAN","VARCHAR2(60 BYTE)","Yes","",7,"保管銀行"
"CUSTODIAN_BANK_NO","VARCHAR2(3 BYTE)","Yes","",47,"保管銀行代號"
"CUSTODIAN_FAX","VARCHAR2(20 BYTE)","Yes","",32,"保管銀行傳真電話"
"CUSTODIAN_RECIPIENT","VARCHAR2(20 BYTE)","Yes","",31,"保管銀行聯絡人"
"DEXIA_CODE","VARCHAR2(3 BYTE)","Yes","",77,"DEXIA Code"
"DIVIDEND_AC_CODE","VARCHAR2(20 BYTE)","Yes","",141,"收益分配配息專戶帳號"
"DIVIDEND_BANK_NO","VARCHAR2(3 BYTE)","Yes","",139,"收益分配配息專戶銀行代號"
"DIVIDEND_BRANCH_NO","VARCHAR2(4 BYTE)","Yes","",140,"收益分配配息專戶分行代號"
"DIVIDEND_DESC","VARCHAR2(180 BYTE)","Yes","",125,"配息基金說明(Portal配息查詢用)"
"DIVIDEND_FREQ","VARCHAR2(1 BYTE)","Yes","'N'",96,"收益分配設定。N: 本基金無收益分配, A:本基金每年收益分配 , S:本基金每半年收益分配, Q:本基金每季收益分配 , M:本基金每月收益分配 , q:本基金每季+每年收益分配 , m:本基金每月+每年收益分配"
"DIVIDEND_MIN","NUMBER(12,0)","Yes","",119,"收益分配下限"
"DIVIDEND_RATE","NUMBER(12,10)","Yes","",118,"DIVIDEND_RATE"
"DUE_EXCHANGE_FUND","VARCHAR2(5 BYTE)","Yes","",153,"後收期滿轉換基金別"
"DUE_EXCHANGE_TYPE","VARCHAR2(1 BYTE)","Yes","'N' ",152,"後手期滿轉換註 Y:後收期滿轉換 N:前手/後收期滿不轉換"
"EARLY_RED_FEE_RATE","NUMBER(6,5)","Yes","",81,"短線交易費率"
"EARLY_RED_MIN_DAYS","NUMBER(3,0)","Yes","",80,"短線交易最小持有日數  以營業日計算, 0 代表無短線交易費用"
"EC_ATM","VARCHAR2(1 BYTE)","Yes","",76,"開放銀行匯款"
"EC_DEDUCTION","VARCHAR2(1 BYTE)","Yes","",74,"開放銀行扣款"
"EC_DIFF","NUMBER(1,0)","Yes","",73,"EC 交易日落差天數"
"EC_DRSP_NEW","VARCHAR2(1 BYTE)","Yes","'N' ",134,"是否開放新委託網路定期不定額交易"
"EC_DRSP_UPDATE","VARCHAR2(1 BYTE)","Yes","'N' ",135,"是否開放更新網路定期不定額交易"
"EC_MIN_AMOUNT","NUMBER(12,0)","Yes","",46,"網路最低申購金額"
"EC_MIN_AMOUNT_NTD","NUMBER(12,0)","Yes","",105,"網路台幣最低申購金額"
"EC_PERIOD_MIN","NUMBER(12,0)","Yes","",45,"網路定額最低申購金額"
"EC_PERIOD_MIN_NTD","NUMBER(12,0)","Yes","",104,"台幣網路定額最低申購金額"
"EC_PUR_CUT_OFF","DATE","Yes","",92,"EC及RSP申購關帳時間"
"EC_RED_CUT_OFF","DATE","Yes","",93,"EC 買回關帳時間"
"EC_REMITTANCE","VARCHAR2(1 BYTE)","Yes","",75,"開放銀行匯款"
"EC_RSP_NEW","VARCHAR2(1 BYTE)","Yes","'N'",115,"開放新委託"
"EC_RSP_UPDATE","VARCHAR2(1 BYTE)","Yes","'N'",116,"開放變更(皆可停扣)"
"ELIMINATION_DATE","DATE","Yes","",114,"販售終止日"
"EMP_NO","VARCHAR2(6 BYTE)","Yes","",51,"修改人員"
"ENAME","VARCHAR2(100 BYTE)","Yes","",29,"基金英文名稱"
"END_COLLECTION_DATE","DATE","Yes","",112,"結束募集日"
"FAX_PUR_CUT_OFF","DATE","Yes","",121,"由於股務對臨櫃傳真扣款需要覆核, 因此希望可以提早傳真申購關帳時間"
"FEE_RATE","NUMBER(3,2)","Yes","",78,"經理公司拆帳比率"
"FIRST_RED_DATE","DATE","Yes","",21,"開始買回日"
"FORMULA_RED_FEE","VARCHAR2(1 BYTE)","Yes","",13,"買回費用公式碼 - 空白：表示買回費用為零 A:表示買回費用計算適用獨特基金買回費用公式(*)。"
"FUND_CATEGORY","VARCHAR2(1 BYTE)","Yes","",67,"基金類別(境內/境外基金)"
"FUND_GROUP","VARCHAR2(2 BYTE)","Yes","",117,"FUND_GROUP"
"FUND_MASTER_NO","VARCHAR2(5 BYTE)","Yes","",124,"主基金別"
"FUND_NO","VARCHAR2(5 BYTE)","No","",1,"基金別"
"FUND_SET","VARCHAR2(2 BYTE)","Yes","",122,"FUND SET"
"FUND_TYPE","VARCHAR2(1 BYTE)","Yes","",4,"基金種類"
"FUND_TYPE2","VARCHAR2(3 BYTE)","Yes","",58,"基金種類2"
"GLOBAL_CURRENCY","VARCHAR2(3 BYTE)","Yes","",126,"全球資產規模公告幣別"
"HEDGING_TYPE","VARCHAR2(1 BYTE)","Yes","'N' ",127,"是否為避險級別基金"
"HSBC_CODE","VARCHAR2(6 BYTE)","Yes","",86,"HSBC_CODE"
"ID","VARCHAR2(10 BYTE)","Yes","",10,"總受益憑證ID"
"INCEPTION_DATE","DATE","Yes","",6,"成立日"
"INVESTMENT_LINK","VARCHAR2(1 BYTE)","Yes","'N'",95,"開放投資型連結保單"
"INVESTMENT_TYPE","VARCHAR2(1 BYTE)","Yes","",150,"投資類型"
"ISIN_CODE","VARCHAR2(20 BYTE)","Yes","",69,"ISIN Code"
"IS_CCC","VARCHAR2(1 BYTE)","Yes","",26,"IS_CCC"
"IS_EC","VARCHAR2(1 BYTE)","Yes","",23,"是否開辦網路交易"
"IS_EC_DRSP","VARCHAR2(1 BYTE)","Yes","'N' ",133,"是否開放網路定期不定額交易"
"IS_EC_PERIODIC","VARCHAR2(1 BYTE)","Yes","",44,"是否開辦網路定期定額"
"IS_EC_PURCHASE","VARCHAR2(1 BYTE)","Yes","'Y'",90,"是否開放網路申購"
"IS_EC_REDEMPTION","VARCHAR2(1 BYTE)","Yes","'Y'",91,"是否開放網路買回"
"IS_EC_SWITCH_IN","VARCHAR2(1 BYTE)","Yes","",107,"開放網路轉申購"
"IS_MAX_SHARE","VARCHAR2(1 BYTE)","Yes","",54,"is_max_share"
"IS_MAX_SHARE_RATE1","NUMBER(10,4)","Yes","",169,"額控警示比率"
"IS_MAX_SHARE_RATE2","NUMBER(10,4)","Yes","",170,"額控限制比率"
"IS_PERFORMANCE_FEE","VARCHAR2(1 BYTE)","Yes","",82,"是否收取績效管理費"
"IS_PERIODIC","VARCHAR2(1 BYTE)","Yes","",12,"是否開辦定期定額"
"IS_POSTED","VARCHAR2(1 BYTE)","Yes","",20,"登帳註 - X:已異動 T:已試算 P:已日結"
"IS_PURCHASE","VARCHAR2(1 BYTE)","Yes","'Y'",160,""
"IS_ROBO","VARCHAR2(1 BYTE)","Yes","'N'",172,"是否開放ROBO，Y/N"
"IS_SSS","VARCHAR2(1 BYTE)","Yes","",27,"IS_SSS"
"IS_TDCC","VARCHAR2(1 BYTE)","Yes","'N'",143,""
"IS_VC","VARCHAR2(1 BYTE)","Yes","",24,"是否開辦網路交易"
"IS_WIRE_FEE","VARCHAR2(1 BYTE)","Yes","'Y'",108,"客戶支付買回匯費"
"LAST_CER_NO","NUMBER(6,0)","Yes","0",17,"目前受益憑證流水號"
"LAST_MODIFIED","DATE","Yes","",52,"修改日期"
"LAST_P_STAT_NO","NUMBER(7,0)","Yes","0",19,"目前定額保管單流水號"
"LAST_S_STAT_NO","NUMBER(7,0)","Yes","0",18,"目前一般保管單流水號"
"LAUNCH_DATE","DATE","Yes","",94,"開始募集日"
"MATURITY_DATE","DATE","Yes","",159,"存續到期日"
